,STANDARD_VALUE,STANDARD_UNITS,activity_class,SMILES,molecule
490,1584.89,nM,0,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1,CHEMBL404367
491,12.59,nM,1,CNS(=O)(=O)c1ccccc1Nc2nc(Nc3cc(ccc3OC)N4CCN(CC4)C(=O)C)ncc2Br,CHEMBL1971029
492,3162.28,nM,0,NC(=O)c1cc([nH]c1c2ccc(Cl)cc2F)c3ccnc(N)n3,CHEMBL1981079
493,1584.89,nM,0,COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2,CHEMBL1190711
494,1000.0,nM,1,CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,CHEMBL1084546
495,5011.87,nM,0,CCOc1ccccc1c2cccc(c2)c3n[nH]c4nc(O)cc(C)c34,CHEMBL1983070
496,5011.87,nM,0,CCn1c(nc2cncc(C(=O)N3CCC(N)C3)c12)c4nonc4N,CHEMBL1870106
497,1584.89,nM,0,Cc1n[nH]c2NC3=C(C(c4ccccc4F)c12)C(=O)CC(C)(C)C3,CHEMBL1966703
498,316.23,nM,1,Fc1cnc(Nc2ccccc2)nc1Nc3ccccc3,CHEMBL491758
499,1584.89,nM,0,OC(C(=O)NNC(=S)Nc1ccc(F)cc1)(c2ccccc2)c3ccccc3,CHEMBL1975138
500,1584.89,nM,0,OC(=O)c1ccc2cc(NC(=O)Nc3cnc(cn3)C#N)ccc2c1,CHEMBL560813
501,3162.28,nM,0,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,CHEMBL2006439
502,5011.87,nM,0,CN1CCN(CC1)c2ccc(Nc3nc(N)c(s3)C(=O)c4c(Cl)cccc4Cl)cc2,CHEMBL1989043
503,1584.89,nM,0,Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1,CHEMBL2004311
504,1584.89,nM,0,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4nn(C5CCC(CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47,CHEMBL1970879
505,1584.89,nM,0,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1,CHEMBL1971947
506,5011.87,nM,0,NCc1cc(Nc2ncnc(n2)c3ccccc3)ccc1O,CHEMBL1980246
507,1000.0,nM,1,Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4,CHEMBL1988717
508,251.19,nM,1,COc1ccc(CNc2cc(cc(F)n2)c3c[nH]c4ncccc34)cc1,CHEMBL1986855
509,39.81,nM,1,NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CHEMBL1998432
510,1584.89,nM,0,Cc1onc(NC(=O)CCNC(=O)Nc2nc(C)c(s2)c3ccc(cc3)n4cccn4)c1,CHEMBL1986603
511,1584.89,nM,0,Cc1nccn2c(c3ccnc(NCC4(O)CC4)n3)c(nc12)c5ccc(F)cc5F,CHEMBL1965589
512,5011.87,nM,0,CC(C)NC1=NNC(=O)C1=Cc2cc3ccccc3[nH]2,CHEMBL1988692
513,1584.89,nM,0,NC(COc1cncc(c1)c2cc3ccncc3s2)Cc4c[nH]c5ccccc45,CHEMBL1966524
514,1995.26,nM,1,Cn1cc(c2cc3nc(Br)cnc3[nH]2)c4cc(F)ccc14,CHEMBL1993335
515,1258.93,nM,1,CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CHEMBL1980178
516,3981.07,nM,0,COc1cccc(F)c1C2=NCc3cnc(Nc4ccc(C(=O)O)c(OC)c4)nc3c5ccc(Cl)cc25,CHEMBL483158
517,5011.87,nM,0,CCCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,CHEMBL2006450
518,50.12,nM,1,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3,CHEMBL1996649
519,5011.87,nM,0,COc1ccccc1c2ccnc(Nc3cccc(c3)S(=O)(=O)C)n2,CHEMBL1975903
520,1584.89,nM,0,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,CHEMBL1976220
521,1584.89,nM,0,CCS(=O)(=O)c1ccc(cc1)c2cncc3sc(cc23)C(=O)N,CHEMBL2000104
522,1258.93,nM,1,NC(=O)c1cc2c(cncc2s1)c3ccc(Br)c(F)c3F,CHEMBL1999918
523,1584.89,nM,0,COc1cccc(C=C2SC(=Nc3ccccc3)NC2=O)c1,CHEMBL1972937
524,251.19,nM,1,Oc1ccc2[nH]c3cc(c4ccccc4Cl)c5C(=O)NC(=O)c5c3c2c1,CHEMBL379975
525,5011.87,nM,0,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,CHEMBL261849
526,1584.89,nM,0,CC(C)(CO)CNc1nccc(n1)c2c(nc3c(CC4CC4)nccn23)c5ccc(F)cc5,CHEMBL1991800
527,1584.89,nM,0,CC(NC1=C(N(C(=O)C)c2ccncc2)C(=O)C1=O)C(C)(C)C,CHEMBL2005899
528,5011.87,nM,0,CCCCNC(=O)C1=CN(C(CC)CC)C(=O)c2cc(OC)c(OC)cc12,CHEMBL1982700
529,1584.89,nM,0,C(Oc1ccc(Nc2ncnc3ccccc23)cc1)c4ccccc4,CHEMBL1980163
530,1584.89,nM,0,Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,CHEMBL1970203
531,501.19,nM,1,Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,CHEMBL260092
532,398.11,nM,1,CCN(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL49120
533,3981.07,nM,0,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CHEMBL215152
534,1584.89,nM,0,OC1COc2ccc(Cl)cc2NC(=O)Nc3cnc(C#N)c(OCC1O)n3,CHEMBL1980802
535,1584.89,nM,0,CCOc1nc(cc(N)c1C#N)C(=O)NCc2cccnc2,CHEMBL209534
536,1584.89,nM,0,CC(Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5,CHEMBL1990288
537,5011.87,nM,0,Fc1ccc(F)c2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc12,CHEMBL2001987
538,1584.89,nM,0,O=C1Nc2sccc2c3nc(nn13)c4ccncc4,CHEMBL1968151
539,1584.89,nM,0,NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3,CHEMBL1974310
540,1584.89,nM,0,COc1cc(c(OC)cc1CC(=O)Nc2cc(N)c(C#N)c(OC(C)C)n2)S(=O)(=O)C,CHEMBL378627
541,1584.89,nM,0,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1,CHEMBL1982466
542,1584.89,nM,0,Clc1cc2C(=O)Nc3ccccc3Nc2nn1,CHEMBL1968850
543,5011.87,nM,0,COc1cccc(CNC(=O)c2cnc(nc2)c3ccncc3)c1,CHEMBL2004159
544,50.12,nM,1,NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,CHEMBL2001751
545,1584.89,nM,0,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1,CHEMBL402846
546,3162.28,nM,0,Fc1cc(Cn2cc(c3ccc4C(=O)Nc5cc(CCOc6ccc(cc6)N7CCOCC7)ccc5Nc4c3)c8ccncc28)cc(F)c1F,CHEMBL2001923
547,501.19,nM,1,CCN1C(=O)SC(=C1C)c2ccnc(Nc3cccc(OC)c3)n2,CHEMBL1986263
548,5011.87,nM,0,COc1cccc(c1)C(C)NC(=O)c2cnc(nc2)c3ccncc3,CHEMBL2003514
549,1584.89,nM,0,Fc1ccccc1CNC2=C(Nc3ccncc3)C(=O)C2=O,CHEMBL1982361
550,5011.87,nM,0,Fc1ccc(cc1)C(=O)Nc2cccc(c2)C3Nc4ccc5ccccc5c4C6C=CCC36,CHEMBL1992042
551,1584.89,nM,0,COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)[N+](=O)[O-],CHEMBL1995740
552,1584.89,nM,0,Cc1c(c2cccc(OCc3ccccc3)c2)c4c(N)ncnc4n1C5CCC(CC5)N6CCCC6,CHEMBL2007151
553,5011.87,nM,0,FC(F)(F)c1ccc(Cl)c(NC(=O)CCC(=O)NN=Cc2c[nH]c3ccccc23)c1,CHEMBL1994308
554,1584.89,nM,0,Cc1csc(NC(=O)c2sc3nc(ccc3c2N)c4ccncc4)n1,CHEMBL1986869
555,1584.89,nM,0,COc1cccc(c1)C(C)NC(=O)c2ccc(cc2)c3ccncc3C,CHEMBL1970217
556,1584.89,nM,0,CC1=Nc2c(sc3c(Br)ccc(Cl)c23)C(=O)O1,CHEMBL1974702
557,5011.87,nM,1,CC(C)(CN)CNc1cc(cc(F)n1)c2c[nH]c3ncccc23,CHEMBL1987261
558,1584.89,nM,0,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1,CHEMBL1973211
559,1584.89,nM,0,Fc1ccccc1c2cc(ccn2)c3cc4C(=O)NCCc4[nH]3,CHEMBL226471
560,1584.89,nM,0,COc1cccc(c1)C(C)NC(=O)c2ccc(c(F)c2)c3ccncc3,CHEMBL2004934
561,1584.89,nM,0,CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOCC6CC6)c2)CC1,CHEMBL2002446
562,1000.0,nM,1,Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,CHEMBL1988594
563,1995.26,nM,1,CN(C)CC1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26,CHEMBL360847
564,1584.89,nM,0,NCC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,CHEMBL246970
565,100000.0,nM,0,Nc1ncnc2nc3ccccc3n12,CHEMBL1983884
566,1584.89,nM,0,CCN1CCN(CCCC(=O)Nc2n[nH]c3nnc(cc23)c4cccc(F)c4F)CC1,CHEMBL1992740
567,3981.07,nM,0,N#Cc1ccc(cn1)c2n[nH]c3c2Cc4ccc(OCCCCN5CCOCC5)cc34,CHEMBL398951
568,1000.0,nM,1,CN(C)C(=O)c1c(nnn1Cc2ccccc2)c3ccc4[nH]ncc4c3,CHEMBL1996111
569,1584.89,nM,0,CC(C)(C)OC(=O)n1ncc2cc(NC3=C(NCc4ccc(Cl)cc4Cl)C(=O)C3=O)ccc12,CHEMBL2005548
570,1584.89,nM,0,COc1ccc(cc1)C(=O)N2c3ccccc3Sc4c(Cl)cncc24,CHEMBL1988537
571,2511.89,nM,1,O=C1Nc2ccccc2C1=Cc3ccc[nH]3,CHEMBL1996176
572,1584.89,nM,0,Fc1cccc2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc12,CHEMBL1966816
573,5011.87,nM,0,Cc1ccc(s1)C2=C(C#N)C(=O)NC(=C2)c3cc(Br)ccc3O,CHEMBL1997193
574,1584.89,nM,0,COc1cc(C=C2SC(=Nc3ccccc3)NC2=O)ccc1O,CHEMBL1970522
575,1584.89,nM,0,COc1ccc(c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c4c(N)noc14,CHEMBL1979093
576,1584.89,nM,0,COCCNc1nccc(n1)c2c(nc3cnccn23)c4ccc(F)cc4,CHEMBL1969372
577,1584.89,nM,0,Cc1c(O)ccc2C(=NNC(=O)Cc3cccc4ccccc34)CCCc12,CHEMBL1972659
578,5011.87,nM,0,Fc1cccc(NC(=O)Nc2cccc(c2)c3ccc4cn[nH]c4c3)c1,CHEMBL1983393
579,1584.89,nM,0,Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,CHEMBL2006263
580,1584.89,nM,0,Cc1cc(C)cc(NC(=O)Nc2ccc(c3cccc4C(=O)NCc34)c(c2)C(F)(F)F)c1,CHEMBL1971021
581,1584.89,nM,0,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3ccc4nccnc4c3N)c1,CHEMBL1971649
582,501.19,nM,1,Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,CHEMBL1965507
583,1584.89,nM,0,CNC(=O)c1cc2c(n[nH]c2s1)c3ccccc3F,CHEMBL1977681
584,794.33,nM,1,CCCC(=O)Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccccc5,CHEMBL2005936
585,1995.26,nM,1,CCOC(=O)c1c(C)n(c2ccc(I)cc2)c3c4ccccc4c(O)cc13,CHEMBL1970352
586,1584.89,nM,0,COc1cc(C)c(Cl)cc1NC(=O)Nc2cnc(cn2)C#N,CHEMBL1975233
587,5011.87,nM,0,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(n1)c4ccc(OCCC(=O)O)cc4,CHEMBL2003689
588,5011.87,nM,0,COc1cc(ccc1C(=O)Nc2n[nH]c3ccc(Cc4cc(F)cc(F)c4)cc23)N5CCN(C)CC5,CHEMBL1973961
589,1584.89,nM,0,Oc1c2C(=O)CC(Cc2nc3cc(Cl)ccc13)c4ccc(Cl)cc4Cl,CHEMBL326282
590,1584.89,nM,0,NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3F,CHEMBL1975787
591,63.1,nM,1,COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26,CHEMBL1987054
592,1584.89,nM,0,Cc1ccc(cc1Nc2ncnc3c2cnn3c4ccccc4)C(=O)Nc5ccon5,CHEMBL259922
593,1000.0,nM,1,NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,CHEMBL1972290
594,1584.89,nM,0,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCNS(=O)(=O)C)c1,CHEMBL1994321
595,1584.89,nM,0,O=C(NCC1CCCCC1)c2cc3c(n[nH]c3s2)c4ccccc4,CHEMBL2005475
596,79.43,nM,1,O=C(Nc1n[nH]c2ccc(cc12)c3cn(Cc4ccccc4)nn3)c5ccccc5,CHEMBL1999931
597,1584.89,nM,0,COc1ccc(cc1)c2cnc3c(Br)cnn3c2,CHEMBL443962
598,15848.93,nM,0,Brc1ccc2N=CNC(=O)c2c1,CHEMBL562488
599,1584.89,nM,0,Cc1ccc(F)c(c1)c2ccc3nnc(N)n3c2,CHEMBL2002323
600,1258.93,nM,1,CC(C)N(C)C(=O)c1c(nnn1Cc2ccccc2)c3ccc4[nH]ncc4c3,CHEMBL1969561
601,398.11,nM,1,CC(C)(C)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34,CHEMBL1970104
602,1584.89,nM,1,Cc1n[nH]c2ncc(C#N)c(c3ccccc3)c12,CHEMBL1965495
603,10.0,nM,1,OC(=O)c1ccccc1Nc2ccnc(Nc3ccc4cn[nH]c4c3)n2,CHEMBL244378
604,1584.89,nM,0,COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1O,CHEMBL2000354
605,5011.87,nM,0,Clc1cccc(NC(=O)Nc2nc(CCNc3ncnc4ccsc34)cs2)c1,CHEMBL1986177
606,5011.87,nM,0,CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,CHEMBL1964441
607,5011.87,nM,0,COCOc1cccc(OCOC)c1c2ccc(NS(=O)(=O)C)cc2C(=O)OC,CHEMBL2004025
608,1584.89,nM,0,FC(F)(F)c1ccc(cc1)c2nnc3ccc(NC4CC4)nn23,CHEMBL451964
609,5011.87,nM,0,NC(=O)c1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4,CHEMBL440084
610,794.33,nM,1,NC(=O)c1ccc2nc(cn2c1)c3oc(cc3)[N+](=O)[O-],CHEMBL1973359
611,1584.89,nM,0,COc1ccc(CNC2=C(Nc3ccc4[nH]ncc4c3)C(=O)C2=O)cc1,CHEMBL1992536
612,3981.07,nM,0,Cc1nccn2c(c3ccnc(NCC(C)(C)O)n3)c(nc12)c4ccc(F)cc4F,CHEMBL1996500
613,1584.89,nM,0,Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4ccccc4)c3,CHEMBL2002726
